,TFIDF
threatening,0.0010383548
maybe,0.0010368897
created,0.0010368685
collins,0.0010367087
english,0.001036693
warned,0.0010366215
consumers,0.0010349513
urged,0.0010348203
media computers,0.0010346045
income inequality,0.0010344473
childbirth,0.0010341641
pregnancy childbirth,0.0010341641
aircraft,0.0010336718
rescues,0.0010318524
drama,0.0010314053
female,0.0010295387
editor,0.0010291638
trial united,0.0010291216
cruises,0.0010290515
ships,0.0010290412
senate impeachment,0.0010284331
release,0.0010279075
assassinations,0.0010278675
looms,0.0010276879
lives,0.0010270156
assaulted,0.0010269731
harder,0.0010264623
johnson,0.0010260813
humans,0.0010251626
social security,0.0010246334
paleontology,0.0010243903
environment greenhouse,0.0010237955
saying,0.0010231785
driverless semiautonomous,0.0010227378
driverless,0.0010227378
semiautonomous,0.0010227378
semiautonomous vehicles,0.0010227378
presidential candidates,0.0010224367
youngest,0.0010209618
views,0.0010209088
cutting,0.0010195777
truce,0.0010170703
investigate,0.0010160531
furnishings,0.001015977
interior design,0.001015977
design furnishings,0.001015977
messaging,0.0010157705
stations,0.001015636
transactions,0.0010151389
estate transactions,0.0010151389
suggested,0.0010140709
google,0.001013773
activists,0.0010125964
trial president,0.0010121416
coronavirus severe,0.0010112445
allies,0.0010110138
prosecution,0.001010951
genetic,0.001010897
level,0.0010106892
iraqi,0.0010104778
reach,0.0010103621
nonprofit,0.0010098873
steps,0.0010098487
event,0.0010092276
detained,0.0010091966
displaced,0.0010089203
rival,0.0010084988
threatened,0.0010081234
classic,0.0010073909
richmond,0.0010063079
social responsibility,0.0010059552
corporate social,0.0010059552
husband,0.0010040181
chicago,0.0010038926
potentially,0.0010032963
michael bloomberg,0.0010028187
startups,0.001001331
sundays,0.0010012424
spends sundays,0.0010012424
interrogations,0.001000476
suicides,0.0009974702
suicide attempts,0.0009974702
suicides suicide,0.0009974702
electric hybrid,0.0009973872
hybrid,0.0009973872
hybrid vehicles,0.0009973872
detainees,0.0009972117
shortages,0.00099715
heredity,0.0009971105
genetics heredity,0.0009971105
terrorist,0.0009950742
cuomo,0.0009948864
drive,0.0009939608
documentary,0.0009938515
critical,0.0009935177
owner,0.0009932156
market customs,0.0009931815
trail,0.0009911937
headlines,0.0009906653
appeared,0.0009902451
powers united,0.0009890834
taxation,0.0009848706
disney,0.0009844776
opens,0.0009843783
phones,0.0009825764
homes california,0.0009824509
finance presidential,0.0009823596
temperature,0.0009817529
klobuchar,0.0009804707
migration,0.000980351
analysis,0.0009793328
environmental,0.0009793185
million homes,0.0009792058
homeless persons,0.0009782682
veteran,0.0009775711
upper,0.0009773772
decide,0.0009769977
fossil,0.0009768327
stories,0.00097582914
collectors,0.00097576383
yourfeedwirecutter,0.0009748585
animal behavior,0.0009747641
blame,0.0009747403
closer,0.00097391446
regulators,0.00097380835
south carolina,0.0009737359
womens rights,0.000972446
womens,0.000972446
forces politics,0.00097177393
sought,0.0009712343
clash,0.000970037
arizona,0.0009698818
wounded,0.0009696223
detention,0.00096954714
vaccination immunization,0.00096935086
immunization,0.00096935086
secretary state,0.0009691636
spreading,0.0009686988
affect,0.0009685561
tight,0.0009663579
savings,0.0009652558
civil rights,0.0009649591
structures,0.00096447807
pledged,0.00096378487
democratic debate,0.0009635242
penalties,0.00096321944
coffee,0.0009627403
expression,0.0009620556
election trumpukraine,0.00096187706
prostate cancer,0.0009617579
designed,0.00096156035
agreed,0.0009611864
prevent,0.0009611846
robert,0.0009611826
election campaign,0.00096045143
finally,0.0009604336
quickly,0.00095871085
capitol,0.00095766364
carrying,0.00095728645
telephones,0.0009568251
auschwitz,0.0009564816
appear,0.00095647166
fatal,0.0009557202
draft,0.00095542334
scale,0.00095499033
helps,0.0009543855
equipment,0.00095424405
careers,0.0009532377
removal,0.0009525033
added,0.00095213146
database,0.00094864314
range,0.00094819034
spend,0.00094787905
liberal,0.0009476354
staff,0.0009473663
requirements,0.00094730116
government targeted,0.0009469458
jewish,0.0009468065
miles,0.0009460162
wrong,0.0009455414
reduce,0.0009452822
massachusetts,0.00094494584
rivers,0.00094363786
dulos,0.0009433771
cameras,0.0009415899
blaze,0.00094071025
chairman,0.00094058906
presidents,0.0009399156
funding,0.0009392442
exchange,0.00093897
classified information,0.0009382125
classified,0.0009382125
years prison,0.0009377368
smoking tobacco,0.0009374591
trends politics,0.0009373348
recalls,0.00093708164
tough,0.0009359583
producer,0.0009354686
focused,0.0009347259
firearms,0.00093444
fourth quarter,0.00093354733
gathering,0.00093290984
statements,0.0009316181
teenager,0.00093097816
effects,0.0009298557
animal abuse,0.0009294473
rights welfare,0.0009294473
abuse rights,0.0009294473
recession,0.0009292578
maker,0.0009288018
celebrities,0.000928783
bezos,0.00092871406
trump senate,0.0009282296
electronics,0.00092678494
concern,0.0009254906
speaker nancy,0.0009247723
point,0.0009235862
image,0.00092347263
subject,0.0009230757
refugees displaced,0.0009227683
displaced persons,0.0009227683
accusations,0.00092172355
fashion apparel,0.0009216489
apparel,0.0009216489
cruise,0.00092118
alternative,0.00092088006
richmond rally,0.0009204945
rally january,0.0009204945
oldest,0.00092002493
minority,0.00091978913
revelations,0.00091921084
keeping,0.0009191925
spotlight,0.00091849425
political prisoners,0.00091712363
visits,0.0009164575
inflation economics,0.0009163302
convicted,0.0009162516
profession,0.0009161598
competition issues,0.000915992
antitrust competition,0.000915992
usually,0.0009157459
ethnic group,0.000915556
worried,0.00091528124
australian,0.000914941
scheme,0.0009144433
embassy,0.00091390876
layoffs,0.0009136841
shifting,0.0009135802
signed,0.0009128476
breaks,0.00091023475
house managers,0.0009102205
attorney,0.00090982876
attorney general,0.00090982876
joseph,0.00090921606
continued,0.00090898585
iranianamericans,0.00090775196
federal budget,0.0009068905
symbol,0.000905747
bring,0.0009045811
dating,0.00090416084
rescue,0.00090297795
fighting,0.00090279686
obama,0.0009023004
allowing,0.0009018093
wildfires fires,0.00090162747
vaccine,0.00090028247
mission,0.0009001877
means,0.0008999775
wearing,0.000899872
iranians,0.00089874567
journey,0.00089816545
included,0.0008981055
asylum,0.0008979526
landlord,0.0008973347
scrutiny,0.0008972341
approach,0.0008955949
netflix,0.0008952192
wuhan coronavirus,0.00089467596
failures,0.00089462777
voice,0.0008942651
native,0.0008940461
cause,0.000894007
killing iranian,0.00089307013
prepare,0.00089250226
buses,0.000892457
reality,0.0008920985
vacation,0.00089202437
photos,0.0008919275
treasury,0.00089165027
summer,0.0008913719
experience,0.000890485
valley,0.0008899219
immunity,0.0008896901
points,0.0008892079
organization,0.0008888108
deoxyribonucleic,0.0008874406
committee,0.0008870996
defends,0.00088692654
mystery,0.00088688877
assault,0.0008866117
tokyo,0.0008862806
fueled,0.0008855869
rises,0.00088538387
market united,0.0008850432
remove,0.0008847355
coastal,0.00088468543
modern,0.00088434713
crowds,0.0008841573
casualties,0.0008840958
acquisitions divestitures,0.0008827817
mergers acquisitions,0.0008827817
acquisitions,0.0008827817
mergers,0.0008827817
divestitures,0.0008827817
advisers,0.00088267477
trump united,0.0008813281
affected,0.00088099955
factory,0.00088016206
survivors,0.0008791903
allow,0.00087874924
communities,0.00087594107
device,0.000874711
marriage,0.00087256567
advertising political,0.0008723027
airstrike,0.00087217893
elections senate,0.00087157835
pensacola,0.00087133504
wonder,0.0008709566
freedom speech,0.0008707928
speech expression,0.0008707928
taxicab,0.0008705379
taxicab drivers,0.0008705379
taxicabs,0.0008705379
taxicabs taxicab,0.0008705379
tennessee,0.0008704239
comfortable,0.0008682585
decided,0.00086742284
shared,0.00086691114
count,0.000865735
significant,0.00086481957
destroyed,0.0008646289
conservation resources,0.0008640571
conservation,0.0008640571
harassment metoo,0.0008636858
david,0.0008621263
naval,0.00086166663
furniture,0.00086140307
delivery,0.00086131966
monday,0.0008609145
guantanamo,0.00086044916
agents,0.0008603264
recycling,0.000860212
departure,0.0008597504
largest,0.00085959333
planning renewal,0.0008592032
renewal,0.0008592032
hoping,0.0008587453
single,0.0008556527
government state,0.0008555939
house representatives,0.0008547923
counsel,0.0008544608
backed,0.0008541171
athletics,0.0008528908
viral,0.00085186673
blazes,0.0008518295
house democrats,0.00085178204
missile strike,0.00085129554
forensic science,0.0008511199
forensic,0.0008511199
testing,0.0008511092
cabinet,0.00085099
lessons,0.0008506691
surprise,0.0008504883
endorsements presidential,0.0008501519
london,0.0008495806
constitutional,0.0008483706
trouble,0.000848159
limited,0.0008475978
kelly,0.0008468844
moines,0.0008465149
credit cards,0.00084644137
disaster,0.000845833
drops,0.00084510504
increased,0.0008419815
veterans,0.00084127754
witness,0.0008410415
psychology psychologists,0.00084044796
psychologists,0.00084044796
preparing,0.00083949906
buildings structures,0.000839162
praised,0.0008391083
suggest,0.00083733746
fugitives,0.00083724514
election black,0.00083705585
layoffs reductions,0.000835318
reductions,0.000835318
formal,0.0008352846
class,0.0008348754
struggle,0.0008343624
chase,0.000833897
signaled,0.00083346665
emotion,0.00083334156
epstein,0.00083325536
success,0.0008330365
airport security,0.0008314988
hazardous toxic,0.000831496
substances,0.000831496
toxic substances,0.000831496
hazardous,0.000831496
discuss,0.00083110685
playing,0.00083078985
house hunting,0.00083066506
customer,0.0008306535
linked,0.0008306226
philadelphia,0.0008303807
backlash,0.00082979724
brooklyn estate,0.0008297525
homes brooklyn,0.0008297525
professions,0.00082688197
careers professions,0.00082688197
troubles,0.00082685077
caucuses trumpukraine,0.0008267483
targets,0.0008264317
disasters ukraine,0.00082518405
washington state,0.0008243221
construction,0.000823511
happy,0.00082299515
pressure campaign,0.00082102494
volatile,0.0008207962
recalls products,0.00082064146
movement movies,0.0008202023
convictions,0.00081855984
state department,0.00081816025
willing,0.00081692496
nation,0.00081612985
carbon,0.00081593374
bribery,0.00081582164
blast,0.00081538386
value,0.0008153666
academic,0.0008146754
vladimir,0.00081432355
relations politics,0.0008142634
author,0.00081411493
writing,0.00081346533
railroads,0.0008130769
drawing,0.00081216154
power failures,0.00081207213
blackouts,0.00081207213
failures blackouts,0.00081207213
chaos,0.000812063
endangered,0.0008116139
endangered extinct,0.0008116139
extinct,0.0008116139
extinct species,0.0008116139
promises,0.00081063254
infection,0.0008106213
parnas,0.0008102081
focus,0.0008092707
campus,0.000809023
identification,0.0008086972
richest,0.00080820423
catch,0.0008074856
revealed,0.00080739707
academy,0.0008063015
successful,0.00080588495
territory,0.00080426387
propaganda,0.0008038688
track,0.0008035475
stand,0.00080337445
assembly,0.0008032057
wrote,0.0008029137
rightwing,0.00080284855
temperatures,0.0008023683
archaeology,0.0008017329
archaeology anthropology,0.0008017329
anthropology,0.0008017329
coronavirus travel,0.0008010247
films,0.00079983356
visas,0.00079967274
danger,0.00079840043
independence,0.00079804054
believe,0.00079789915
disasters deaths,0.00079773314
returning,0.0007971827
recession depression,0.00079633045
negative,0.00079478184
migrants,0.0007943795
backing,0.0007935935
words,0.00079350977
intense,0.0007933312
computing,0.00079267175
pushed,0.00079258345
takeaways,0.00079182297
marijuana,0.00079158857
matters,0.00079137983
closing,0.0007911181
audio,0.00079099817
military tribunals,0.0007908907
tribunals,0.0007908907
macron,0.0007898194
government corruption,0.0007896625
expanding,0.00078901846
budget travel,0.0007888146
formally,0.0007884556
tariff united,0.0007877891
liberals,0.0007869617
price,0.00078687543
delivery services,0.000786761
comments,0.0007866353
voter,0.0007864839
compensation,0.0007863515
shift,0.00078581274
tweets,0.00078581116
november,0.00078524766
residential estate,0.00078520266
election presidential,0.00078436814
stepped,0.0007843494
freedom press,0.0007830342
broadcast,0.0007830068
berlin,0.00078298186
firefighters wildfires,0.000782842
state secrets,0.0007825662
information state,0.0007825662
sentenced years,0.00078239397
maine,0.00078233465
telling,0.00078172603
datamining database,0.0007805955
database marketing,0.0007805955
datamining,0.0007805955
industrial,0.0007784886
iranian commander,0.0007779734
session,0.0007773458
australia fires,0.000776904
canadian,0.0007761748
learning,0.0007760614
strike iranian,0.0007759453
african,0.00077571796
exposed,0.0007756135
advertising online,0.00077478116
german,0.00077353
evolution,0.00077343365
planned,0.0007734044
brazil,0.00077257666
mohammed,0.00077172054
complex,0.00077073084
downed,0.0007705469
fines,0.00077020173
hispanicamericans,0.0007698427
economy united,0.0007683896
tesla,0.0007680858
gives,0.0007677438
announces,0.0007676114
collapse,0.0007675282
request,0.0007673494
nissan,0.0007670754
renters,0.0007665383
expand,0.00076640357
golden,0.0007663533
involved,0.00076604023
disasters airlines,0.0007654746
engineering,0.0007642386
believed,0.00076386845
explain,0.0007637999
violent,0.0007637557
prompted,0.0007633305
latino,0.00076330226
reasons,0.0007617738
cross,0.0007615954
goods,0.0007614307
protection affordable,0.00076031504
patient protection,0.00076031504
destruction,0.00075994484
amendment,0.000759716
hurricane maria,0.00075971504
maria,0.00075971504
alliance,0.0007596065
courts judiciary,0.0007591147
activist,0.0007584855
caucus,0.00075769424
unusual,0.00075754314
partisan,0.0007573373
injuries,0.0007564285
disorders,0.00075620104
drone strike,0.00075598835
drone,0.00075598835
position,0.0007546588
statement,0.00075439806
hearing,0.000754337
address,0.00075378147
warren sanders,0.0007531076
jennifer,0.00075219135
paris,0.0007518476
liberation,0.00075095077
parks,0.00075068104
legal profession,0.00075058977
responsible,0.0007502787
criminals,0.0007502175
missiles missile,0.00074978103
missile defense,0.00074978103
defense systems,0.00074978103
inquiry russian,0.0007495859
attempt,0.0007488391
surveillance citizens,0.0007487087
citizens government,0.0007487087
sunday,0.0007476691
certain,0.0007460926
troubled,0.0007456453
teams,0.00074550376
declared,0.00074519357
alert,0.0007448498
evening,0.0007447484
urban areas,0.00074471685
government legislation,0.00074437645
warming greenhouse,0.0007443196
senior,0.00074431923
japanese,0.0007441848
iphone,0.0007435084
emails,0.00074345275
federal reserve,0.0007431926
reserve,0.0007431926
nonprofit organizations,0.0007428978
entering,0.0007423923
posed,0.0007415925
crossed,0.0007413801
differences,0.0007412773
initial,0.00074111193
storms,0.0007400369
announcement,0.0007394091
showing,0.0007386663
recognition software,0.0007385302
airliner,0.00073837565
vaping,0.0007376139
alarm,0.0007372263
elections house,0.0007372256
actions,0.00073719065
fallout,0.0007370941
sentence,0.00073670695
coronavirus politics,0.0007364322
steady,0.00073611696
voted,0.0007355047
newly,0.0007351168
youth,0.0007351101
promise,0.0007349141
investments,0.00073429366
shipping,0.0007340556
balance,0.0007338965
airplane,0.00073372206
returns,0.00073367445
instead,0.00073288754
caribbean,0.00073238084
pensacola shooting,0.0007318825
livery,0.0007315312
services livery,0.0007315312
impeachment ethics,0.0007313355
experiences,0.0007311202
victim,0.00073004945
philosophy,0.0007300388
syndrome epidemics,0.0007292814
minutes,0.00072821835
progressive,0.000726767
george,0.00072648854
epidemics coronavirus,0.0007263643
fields,0.00072517025
guards,0.00072451896
pilots,0.00072394044
reform,0.00072275515
tougher,0.0007222492
writers,0.0007218725
writing writers,0.0007218725
trump presidential,0.00072152296
investigated,0.00072117726
civilian,0.0007210886
panic,0.00072086405
prisons prisoners,0.00072074134
venezuela,0.0007204631
government economic,0.00072012143
president nicolas,0.000719746
nicolas,0.000719746
maduro,0.000719746
china coronavirus,0.000719588
journalist,0.0007185109
required,0.000718394
approval,0.0007168029
wisconsin,0.0007160412
project,0.00071598723
material,0.0007159823
conversation,0.00071562186
heading,0.0007153724
train,0.00071451324
selling,0.0007143183
weigh,0.00071415154
largely,0.00071413285
caucuses polls,0.00071313453
startup,0.00071177096
solution,0.00071162963
prostitution,0.0007112753
world leaders,0.0007112687
pension,0.000710732
china trade,0.00070993
caucuses voting,0.0007096913
continent,0.0007087313
bribery kickbacks,0.00070820417
kickbacks,0.00070820417
looks,0.00070780504
repairs,0.0007067912
relations targeted,0.0007066765
joins,0.00070658315
jeffrey,0.0007065616
events,0.00070626935
intensify,0.00070531975
internal,0.0007045365
documentary films,0.00070400385
films programs,0.00070400385
situation,0.0007032944
talking,0.0007031912
impeachment charges,0.000702926
tries,0.0007026436
relations international,0.000702442
troubling,0.00070154027
consulates united,0.00070138456
evolution biology,0.00070137077
birth control,0.00070047716
celebrating,0.00070047413
provided,0.0006995072
adults,0.00069870474
choose,0.00069869845
chamber,0.000698589
december,0.0006976434
related,0.00069742865
activity,0.0006972592
underway,0.00069641037
grows,0.0006950612
attend,0.00069481425
campaigns,0.0006945315
panel,0.0006944621
light power,0.000694312
electric light,0.000694312
commission,0.0006941893
trial house,0.0006935008
impeachment witnesses,0.00069173775
played,0.00069165137
difficult,0.00069100835
appearing,0.00069089106
democratic party,0.00069078454
fundraising,0.00069013773
rallies,0.00069000595
involving,0.000689458
forces aviation,0.0006893961
barred,0.0006886398
posted,0.0006882907
relief,0.0006880237
benjamin,0.0006867777
benjamin netanyahu,0.0006867777
fines penalties,0.00068645447
criticizing,0.0006852752
follow,0.0006846685
trade agreement,0.0006839872
movement sexual,0.00068390905
proceedings,0.00068375486
cracks,0.00068372797
plenty,0.00068361656
health officials,0.00068065256
following,0.00067919923
heard,0.0006791364
mental health,0.0006790099
health disorders,0.0006790099
production,0.0006787321
american troops,0.00067842344
deficit,0.0006783321
highest,0.0006783193
pressed,0.0006776407
raised million,0.00067674165
crucial,0.0006761761
recruitment,0.0006760786
recruitment military,0.0006760786
draft recruitment,0.0006760786
recycling waste,0.0006758674
aides,0.0006757517
confronts,0.00067487184
followed,0.0006747342
trial senate,0.0006742615
terminals passenger,0.0006741648
terminals,0.0006741648
stations terminals,0.0006741648
expert,0.0006735197
outrage,0.0006733353
reached,0.00067223836
tariffs,0.0006714968
concerns aviation,0.0006700619
trucks,0.0006699315
treat,0.00066949456
firms,0.0006682327
terrorism united,0.000667592
actress,0.00066646334
memorials,0.00066606066
cellular,0.0006658589
responded,0.0006654846
spoke,0.00066513923
freedom religion,0.00066496787
pleaded,0.00066131575
hacked,0.00066096423
recording,0.0006605726
associates united,0.00065943296
charged murder,0.0006593779
station pensacola,0.000659298
naval station,0.000659298
ships shipping,0.0006581014
entry,0.0006563502
speeches,0.00065629074
hiring,0.0006560832
considering,0.0006560451
worries,0.00065548485
president emmanuel,0.0006546603
emmanuel,0.0006546603
overhaul,0.00065355556
disposal,0.0006533908
materials disposal,0.0006533908
reflected,0.0006521266
settle,0.0006506774
congressional,0.0006504633
crimes child,0.0006498594
emerging,0.0006495773
committees,0.0006486814
developing,0.00064855383
flight aviation,0.0006473778
warning systems,0.00064722076
removing,0.00064696366
stock market,0.0006466394
development,0.00064623536
article,0.0006445066
plotting,0.0006439486
state pompeo,0.0006426617
abuse traffic,0.0006383886
injury,0.0006383636
giuliani,0.0006381559
foreign policy,0.0006376702
lobbying,0.00063751615
findings,0.0006370675
presented,0.000636082
investing,0.0006355197
animal migration,0.0006343386
ruling,0.00063344394
airline,0.0006333652
argued,0.00063150085
angry,0.0006309245
nicotine,0.0006304674
biden sanders,0.0006283148
sanctions united,0.00062749273
greta,0.00062712946
asylum right,0.0006269696
family planning,0.00062680966
control family,0.00062680966
projects,0.000626104
president lawyers,0.0006256974
scientific,0.0006255311
television media,0.00062499254
downing,0.00062202034
biggest,0.0006185728
draws,0.00061788067
putting,0.00061645394
trials,0.0006158388
raises,0.00061502215
service members,0.00061495294
iranian missiles,0.00061461254
homicides missing,0.0006120795
government international,0.000611299
zelensky,0.0006102073
volodymyr,0.0006102073
volodymyr zelensky,0.0006102073
giants,0.0006091416
impeachment articles,0.0006088279
escalation,0.0006084944
aboard,0.0006071314
attempted assassinations,0.00060707505
assassinations attempted,0.00060707505
exchange traded,0.00060668035
traded funds,0.00060668035
traded,0.00060668035
silicon,0.0006041528
overall,0.00060401286
discrimination black,0.00060161867
fuels,0.00059895974
advertising presidential,0.00059526676
invest,0.0005921972
american officials,0.00059003604
trust,0.00059000304
citizenship naturalization,0.0005857203
naturalization,0.0005857203
methods,0.0005849846
associates presidential,0.00058376463
killings defense,0.0005825402
islamic,0.0005821298
forces drones,0.0005808782
economy international,0.00058026175
theory philosophy,0.0005745407
economics theory,0.0005745407
consequences,0.0005742071
sectarian schools,0.00056853367
sectarian,0.00056853367
private sectarian,0.00056853367
water pollution,0.0005654557
lobbying lobbyists,0.0005639207
lobbyists,0.0005639207
middle africa,0.00056353275
africa migrant,0.00056353275
migrant crisis,0.00056353275
orders memorandums,0.0005596066
memorandums,0.0005596066
executive orders,0.0005596066
argue,0.0005569743
